Time,V_bert,V_exp,V_gomp,V_lin,V_log,V_mend,V_surf,a_exp,a_mend,a_log,a_lin,a_surf,a_gomp,a_bert,b_mend,b_log,b_lin,b_surf,b_gomp,b_bert,c_gomp,tumour
29.16,574.9302110550336,450.77507287962953,543.5711358361773,504.06871673566786,498.4038788493764,526.6480149647316,507.0408360081856,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
29.279999999999998,576.87723765916,452.1077364446224,545.4984899561061,505.73317992482674,500.04362753607285,528.375134913452,508.70245311436616,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
29.4,578.82865510234,453.44433963665955,547.4316425279857,507.4025593745239,501.6883497165145,530.1066979748863,510.3687545516025,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
29.52,580.7844683299353,454.7848940414397,549.3706040503276,509.07686623319614,503.33805775453465,531.8427124399635,512.0397499539537,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
29.64,582.7446822873061,456.1294112748794,551.3153850056973,510.7561116592251,504.9927640300816,533.5831866090456,513.7154489629693,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
29.759999999999998,584.7093019198106,457.4779029831012,553.265995860748,512.440306820945,506.65248093922213,535.3281287919264,515.3958612276938,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
29.88,586.6783321728059,458.83038084242224,555.2224470662558,514.1294628966504,508.3172208941449,537.0775473078311,517.0809964046724,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.0,588.651777991647,460.18685655934206,557.1847490571524,515.823591074603,509.9869963231641,538.8314504854148,518.7708641579549,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.119999999999997,590.6296443216874,461.5473418705313,559.1529122525608,517.5227025530403,511.66181967072305,540.5898466627625,520.4654741591011,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.24,592.6119361082787,462.91184854281954,561.1269470558287,519.2268085401824,513.341703397398,542.3527441873878,522.1648360871864,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.36,594.598658296771,464.2803883731839,563.1068638545632,520.9359202542402,515.0266599799012,544.1201514162319,523.8689596288053,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.48,596.5898158325124,465.652973188737,565.0926730206647,522.650048923422,516.7167019110849,545.8920767156635,525.5778544780777,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.599999999999998,598.5854136608493,467.02961484671556,567.0843849103611,524.3692057859421,518.4118416999447,547.6685284614773,527.2915303366533,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.72,600.5854567271264,468.41032523446825,569.0820098642425,526.0934020900283,520.1120918716233,549.4495150388938,529.0099969137162,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.84,602.5899499766864,469.7951162694442,571.0855582072951,527.8226490939287,521.8174649674139,551.2350448425575,530.7332639259905,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
30.959999999999997,604.5988983623196,471.1840092863562,573.095004865716,529.556949241766,523.5279645978139,553.0251267131923,532.4613376233544,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
31.08,606.6123068240538,472.5770095698869,575.110385361156,531.2963201033584,525.2436097154862,554.8197687529608,534.1942302148205,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
31.2,608.6301803064181,473.9741281095769,577.1317138096827,533.040773924136,526.964413880589,556.6189793374172,535.9319518165964,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
31.32,610.6525237548417,475.37537706208695,579.1590000259342,534.7903218907118,528.6903895857035,558.422766904429,537.6745121315965,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
31.439999999999998,612.6793421147561,476.78076861865213,581.1922537920308,536.5449751954962,530.421549335259,560.231139901495,539.421920868622,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
31.56,614.7106403315939,478.1903150051434,583.2314848573336,538.3047450366374,532.1579056454673,562.0441067857485,541.174187742339,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
31.68,616.7464233507899,479.6040284821287,585.2767029382037,540.0696426179585,533.8994710442561,563.861676023959,542.9313224732557,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
31.799999999999997,618.7866961177801,481.021921344934,587.3279177177612,541.8396791488974,535.6462580712032,565.6838560925355,544.6933347877011,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
31.919999999999998,620.831463578003,482.44400592370505,589.3851388456443,543.6148658444461,537.3982792774711,567.5106554775288,546.4602344178024,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
32.04,622.8807306768981,483.8702945834683,591.448375937768,545.3952139250886,539.1555472257402,569.3420826746338,548.2320311014632,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
32.16,624.9345023599071,485.3007997241922,593.5176385760832,547.1807346167409,540.9180744901425,571.1781461891928,550.008734582341,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
32.28,626.9927835724741,486.73553378084887,595.5929363083359,548.9714391506891,542.6858736561969,573.0188545361975,551.7903546098258,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
32.4,629.055579260044,488.1745092234746,597.6742786478258,550.7673387635289,544.4589573207418,574.8642162402916,553.5769009390174,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
32.519999999999996,631.1228943680647,489.61773855723214,599.7616750731657,552.5684446971043,546.2373380918699,576.7142398357739,555.3683833307034,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
32.64,633.1947338419858,491.06523432247116,601.8551350280404,554.3747681984468,548.0210285888618,578.5689338666006,557.1648115513375,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
32.76,635.2711026272583,492.5170090947897,603.954667920965,556.1863205197135,549.81004144212,580.4283068863871,558.9661953730168,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
32.879999999999995,637.3520056693361,493.9730754850958,606.0602831250452,558.0031129181275,551.6043892931032,582.2923674584122,560.7725445734606,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.0,639.4374479136749,495.4334461396686,608.171989977735,559.8251566559155,553.4040847942599,584.1611241556194,562.5838689359872,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.12,641.5274343057321,496.8981337402192,610.2897977805966,561.6524630002473,555.2091406089625,586.0345855606199,564.4001782494927,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.24,643.621969790968,498.36715100395264,612.4137157990588,563.4850432231749,557.0195694114411,587.9127602656955,566.2214823084286,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.36,645.7210593148444,499.84051068362857,614.5437532621761,565.3229086015712,558.835383886718,589.7956568728002,568.0477909127793,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.48,647.8247078228259,501.3182255676231,616.6799193623881,567.1660704170687,560.6565967305411,591.6832839935644,569.879113868041,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.6,649.932920260379,502.80030847998955,618.8222232552783,569.0145399559992,562.4832206493182,593.5756502492958,571.7154609851989,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.72,652.0457015729726,504.28677228052004,620.9706740593325,570.868328509332,564.3152683600507,595.4727642709829,573.5568420807048,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.839999999999996,654.1630567060779,505.7776298648066,623.1252808556985,572.727447372613,566.1527525902679,597.3746346992978,575.4032669764558,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
33.96,656.2849906051687,507.2728941643027,625.2860526879451,574.5919078459043,567.995686077961,599.2812701845982,577.2547454997722,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
34.08,658.4115082157208,508.7725781463842,627.4529985618203,576.461721233722,569.8440815715163,601.1926793869299,579.1112874833743,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
34.199999999999996,660.5426144832127,510.2766948144108,629.6261274450112,578.3368988449758,571.6979518296504,603.1088709760301,580.9729027653616,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
34.32,662.6783143515871,511.7852600514426,631.8054370460128,580.2174491148302,573.5573060440124,605.0298537620896,582.8396003082681,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
34.44,664.8186127656236,513.2982882340733,633.9909311216725,582.1033820439657,575.4221553570117,606.955636494063,584.7113895578282,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
34.56,666.9635146725129,514.8157893227084,636.1826309587819,583.9947121435276,577.292516522274,608.8862277258709,586.5882813443626,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
34.68,669.1130250177047,516.3377765365982,638.3805450888589,585.891450667183,579.1684022494247,610.8216361693203,588.4702855051634,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
34.8,671.2671487466503,517.8642631340537,640.584681993225,587.7936088698838,581.0498252546041,612.7618705460503,590.3574118819334,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
34.92,673.4258908048017,519.3952624125534,642.7950501025807,589.7011980077589,582.9367982603428,614.7069395875359,592.2496703207488,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
