Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
12.98,-6.792262584835743e-16,6.494396675354352,0.0,-6.792262584835743e-16,1.9999999999999973,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-2.472383580880211e-15,-4.4111647549094005e-13,-1.9018335237540083e-16,0.06494396675354352,0.0,0.0
13.2,-6.920300763439847e-16,6.480123830958679,0.0,-6.920300763439847e-16,1.9999999999999964,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-2.518989477892105e-15,-4.484440589457119e-13,-1.9376842137631574e-16,0.06480123830958678,0.0,0.0
13.42,-6.600727784406576e-16,6.46588244881768,0.0,-6.600727784406576e-16,1.9999999999999958,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-2.402664913523994e-15,-4.2679529930620506e-13,-1.8482037796338414e-16,0.0646588244881768,0.0,0.0
13.64,-5.74110819482876e-16,6.4516724953147735,0.0,-5.74110819482876e-16,1.9999999999999947,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-2.0897633829176688e-15,-3.703974983320508e-13,-1.6075102945520527e-16,0.06451672495314774,0.0,0.0
13.86,-4.249006541799246e-16,6.437493936833379,0.0,-4.249006541799246e-16,1.9999999999999933,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-1.5466383812149256e-15,-2.735295385039917e-13,-1.189721831703789e-16,0.06437493936833379,0.0,0.0
14.08,-2.0319873724108403e-16,6.423346739756913,0.0,-2.0319873724108403e-16,1.9999999999999918,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-7.396434035575458e-16,-1.3052159463802652e-13,-5.689564642750353e-17,0.06423346739756913,0.0,0.0
14.3,1.2421471947764869e-17,6.409230638109047,0.0,1.2421471947764869e-17,1.9999999999999898,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.521415788986413e-17,7.961207857802657e-15,3.478012145374164e-18,0.06409230638109048,0.0,0.0
14.52,8.921990463248155e-17,6.395145222591097,0.0,8.921990463248155e-17,1.9999999999999873,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,3.2476045286223284e-16,5.705742468704426e-14,2.4981573297094837e-17,0.06395145222591098,0.0,0.0
14.74,1.6887281680932369e-16,6.381090809997332,0.0,1.6887281680932369e-16,1.9999999999999845,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,6.146970531859383e-16,1.0775927794003202e-13,4.7284388706610635e-17,0.06381090809997332,0.0,0.0
14.96,2.5087230532007257e-16,6.367067340909288,0.0,2.5087230532007257e-16,1.9999999999999805,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,9.13175191365064e-16,1.597320861942017e-13,7.024424548962032e-17,0.06367067340909288,0.0,0.0
