task_fig2a.time/60,task_fig2a.MAPK_PP,task_fig2a.MAPK
74.7,187.03440427001624,38.496886279648976
74.85,201.25212078832698,27.076547798794813
75.0,215.78810751036374,17.289372066070285
75.15,230.452983037609,9.986460076192827
75.3,244.9426360980386,5.579919081860458
75.45,258.78960776826955,3.452741605513431
75.6,271.32419878903136,2.486164484558377
75.75,281.6714429026799,1.9127290168865527
75.9,288.9989767047016,1.4253929138971313
76.05,293.2104660033232,1.0026239808953585
76.2,295.20747608937063,0.7124780998690258
76.35,296.0576828702702,0.5562499529204291
76.5,296.40691325395954,0.4839296142408039
76.65,296.548753104263,0.4529434218585511
76.8,296.60371751509524,0.44057965831373247
76.95,296.6196832334919,0.4367453594234039
77.1,296.6154290181796,0.43729476184363625
77.25,296.598246189765,0.4405942195044842
77.4,296.5708639857762,0.44603195654972333
77.55,296.53419561099673,0.453414164321097
77.7,296.4883816657403,0.4627268578895651
77.85,296.43319211773894,0.4740444944204465
78.0,296.36817718364296,0.4874969716589921
78.15,296.29272354214856,0.5032603303696068
78.3,296.2060584366995,0.5215544775713725
78.45,296.1072461899713,0.5426480801534797
78.6,295.9951703493746,0.5668652871328715
78.75,295.86850702974937,0.5945954202785226
78.9,295.7256961204539,0.6263042243849702
79.05,295.56490268051766,0.6625493108236804
79.2,295.38396948698437,0.7039990057159504
79.35,295.1803649966828,0.7514538923332295
79.5,294.951114502562,0.8058769719686731
79.65,294.69272584951955,0.8684273685814073
79.8,294.4010947559294,0.9405058840951716
79.95,294.071404615646,1.02380477233552
80.1,293.6980054314975,1.1203754689748808
80.25,293.27426722539553,1.2327229292087711
80.4,292.7924572566858,1.363879332393397
80.55,292.243571235755,1.517538315441472
80.7,291.61720130084035,1.698208820697532
80.85,290.90141363414614,1.9113602025967589
81.0,290.0826712364909,2.1636269781618567
81.15,289.1458669541799,2.4629915991216844
81.3,288.07446995508434,2.819008366919922
81.45,286.8508564290331,3.242965495408877
81.6,285.4568764463193,3.747982035575391
81.75,283.8747130311514,4.348963693367955
81.9,282.0879511314844,5.062335283388199
82.05,280.08295998796973,5.905425380001207
82.2,277.8502472282122,6.895479466184205
82.35,275.3859810245744,8.048238174672381
82.5,272.69282429399175,9.376253362497875
82.65,269.78038863914554,10.887198937868188
82.8,266.66494490180156,12.582713168910166
