Time,Normal_cells,Tumor_cells,r,beta1,gamma,alpha1,alpha2,beta2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth
23.7,5.293082415492813e-14,2.5000219603293887,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.282377137560501e-14,1.2325050668392976e-13,-9.719727008761877e-06
24.0,4.393032182459584e-14,2.500019578882719,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.8942754770765726e-14,1.0229255547187618e-13,-8.665681226034908e-06
24.3,3.212491611219935e-14,2.500017370032388,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.385226382758036e-14,7.480338689854635e-14,-7.688029655586958e-06
24.599999999999998,1.9082590969368736e-14,2.5000153434073833,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.2284132259918e-15,4.443408577861332e-14,-6.791033729999797e-06
24.9,7.721235354706052e-15,2.5000136106507607,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,3.3293966849492496e-15,1.7978994405225696e-14,-6.024106800442189e-06
25.2,-1.5938708872907849e-15,2.500012044174927,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-6.872771265997865e-16,-3.7113462410117896e-15,-5.330777509406091e-06
25.5,-7.0813967353636444e-15,2.5000106213887103,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-3.0534982722888037e-15,-1.6489102352862846e-14,-4.701046636766817e-06
25.8,-6.929683931961598e-15,2.5000093238614194,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-2.988079711461841e-15,-1.6135829214642332e-14,-4.126756475783443e-06
26.099999999999998,-7.646610527329265e-15,2.5000081660885285,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-3.297218459384379e-15,-1.7805190772201864e-14,-3.61432261145398e-06
26.4,-6.25031035137172e-15,2.500007131077707,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-2.695133823511486e-15,-1.455388916701647e-14,-3.1562240146833574e-06
26.7,-3.644259362623879e-15,2.500006217014499,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-1.5714046371634167e-15,-8.485679028053046e-15,-2.7516574710537835e-06
27.0,-1.2875255440919304e-15,2.500005424424874,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,-5.551810146124404e-16,-2.998009734395376e-15,-2.4008556624763324e-06
27.3,4.987252888017896e-15,2.500004727850819,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.150503445313317e-15,1.1612840311218767e-14,-2.092550715040577e-06
27.599999999999998,1.6113795263245735e-14,2.5000041139173628,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,6.948268517511562e-15,3.7521034013739405e-14,-1.8208227731893016e-06
27.9,2.8486864322326695e-14,2.5000035860550978,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.2283535895787271e-14,6.633175872213783e-14,-1.5871901783304978e-06
28.2,4.02275929845609e-14,2.500003135808083,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.734613809494266e-14,9.367006775694493e-14,-1.3879102789231853e-06
28.5,4.8696842968832046e-14,2.5000027527704005,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.099807868816038e-14,1.133907237082391e-13,-1.2183773760685973e-06
28.799999999999997,5.039704283488937e-14,2.5000024239806544,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.1731204870404296e-14,1.1734962802222083e-13,-1.0728547281083334e-06
29.099999999999998,4.087402602462982e-14,2.500002133316467,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.7624880021820382e-14,9.517525081385317e-14,-9.442065526644996e-07
29.4,4.287507879185447e-14,2.500001930535348,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.8487733975047648e-14,9.983469806053902e-14,-8.544554775002313e-07
29.7,5.11209914043292e-14,2.500001794784392,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.204337149354675e-14,1.1903531394200861e-13,-7.943719903155991e-07
30.0,5.818289286500612e-14,2.5000016980183766,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.508846340339064e-14,1.3547895805440842e-13,-7.515432709120062e-07
