Time,M,N,Z,q,r,alpha,k1,beta,d1,s,k2,d2,compartment,Increase_in_the_density_of_tumor_cel,Removal_of_tumor_cell_from_the_system,Activation_and_transfer_of_predator_cells_like_CTL_NK_and_macrophage,Removal_of_hunting_predator_cell,Converstion_of_hunting_to_resting_predator_cell,Removal_of_resting_predator_cells
81.5,2.6988406112304073,5.231929522938104,0.22044597543898758,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.2347483246775335,4.236043161480206,0.11533578071121274,0.10463859045876209,0.12081800539433668,0.12194915997438237
81.75,2.6985190068710163,5.234586238343143,0.22016488572725854,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.2364116719342615,4.237689137182328,0.11524720809942982,0.10469172476686285,0.12073467783061047,0.12185215467124758
82.0,2.698201703734246,5.237207691030724,0.2198872021519913,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.238052545072135,4.239312814424759,0.11515949462696365,0.10474415382061449,0.12065218266990084,0.1217561106915234
82.25,2.697888653627693,5.23979426390875,0.21961289330210867,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.239671202470245,4.240914447582866,0.11507263786047935,0.104795885278175,0.12057051703651736,0.12166102465954261
82.5,2.697579804233159,5.2423464551824495,0.21934191612688644,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.24126792357741,4.24249437728804,0.11498663164807094,0.104846929103649,0.12048967442126447,0.12156688913187753
82.75,2.6972751090040057,5.244864619997807,0.2190742417442469,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.242842957744464,4.244052836884751,0.11490147396772471,0.10489729239995614,0.12040965237160699,0.12147370122005212
83.0,2.696974522440928,5.247349093888432,0.21880984310907275,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.24439654866443,4.245590044971176,0.1148171631972263,0.10494698187776864,0.12033044883992446,0.12138145849049849
83.25,2.6966779977244753,5.249800254682114,0.21854868882904843,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.245928946614332,4.2471062517748805,0.11473369622751806,0.10499600509364228,0.12025206033307162,0.1212901568923895
83.5,2.6963854884502236,5.252218477277832,0.21829074768212814,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.247440399489632,4.248601705290623,0.11465106983948666,0.10504436954555665,0.12017448326156249,0.1211997922699505
83.75,2.6960969486336914,5.254604133603676,0.21803598862068965,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.248931152784433,4.250076651266055,0.114569280708064,0.10509208267207353,0.12009771394363569,0.1211103603666847
84.0,2.6958123327152546,5.256957592574771,0.21778438077568807,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.2504014495716085,4.251531333187249,0.11448832540629485,0.10513915185149543,0.12002174860929345,0.12102185682956548
84.25,2.695531595565067,5.259279220051204,0.2175358934608096,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.251851530482811,4.252965992264047,0.11440820040937084,0.10518558440102409,0.11994658340431318,0.12093427721319513
84.5,2.695254692487972,5.261569378795942,0.21729049617662544,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.253281633688437,4.254380867415236,0.1143289020986309,0.10523138757591884,0.11987221439423285,0.12084761698392966
84.75,2.6949815792284233,5.263828428432759,0.2170481586147454,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.25469199487749,4.2557761952535555,0.11425042676552795,0.10527656856865518,0.11979863756830869,0.1207618715239703
85.0,2.6947122119753986,5.266056725404158,0.2168088506619719,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.256082847237345,4.257152210070529,0.11417277061556227,0.10532113450808316,0.11972584884344581,0.12067703613542143
85.25,2.6944465473673183,5.268254622929294,0.2165725424044536,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.257454421433468,4.258509143821124,0.11409592977218132,0.10536509245858587,0.11965384406810133,0.12059310604431492
85.5,2.6941845424969597,5.2704224709619,0.21633920413183919,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.258806945589018,4.2598472261082545,0.11401990028064588,0.10540844941923799,0.11958261902615981,0.12051007640460105
