Time,C,F,P,m,gamma,nu,sigma,Brain
48.15,25.104075315881087,128.56196631979134,0.2013722325218303,25.0,1.0,1.0,1.0,1.0
48.3,25.221592262154697,127.78870925628374,0.20349077722383707,25.0,1.0,1.0,1.0,1.0
48.449999999999996,25.338728379733286,126.99267495027242,0.20566823786573052,25.0,1.0,1.0,1.0,1.0
48.6,25.455471832893785,126.17379613176837,0.20790713905319372,25.0,1.0,1.0,1.0,1.0
48.75,25.571810911562647,125.33200544852117,0.21020990548734503,25.0,1.0,1.0,1.0,1.0
48.9,25.687733293704685,124.467232381637,0.21257909536124203,25.0,1.0,1.0,1.0,1.0
49.05,25.803226054231693,123.57940291309671,0.21501736268754834,25.0,1.0,1.0,1.0,1.0
49.199999999999996,25.91827586107255,122.66844195576807,0.2175275471741713,25.0,1.0,1.0,1.0,1.0
49.35,26.032868429577167,121.73427013877657,0.22011276776980046,25.0,1.0,1.0,1.0,1.0
49.5,26.146989246517986,120.77680659661497,0.2227761564446642,25.0,1.0,1.0,1.0,1.0
49.65,26.26062285929814,119.79596683024629,0.2255211462136675,25.0,1.0,1.0,1.0,1.0
49.8,26.373753016605068,118.79166313815871,0.2283514139956444,25.0,1.0,1.0,1.0,1.0
49.949999999999996,26.48636304637965,117.76380549700377,0.2312707283630212,25.0,1.0,1.0,1.0,1.0
50.1,26.59843475858038,116.71229829201307,0.23428334926557576,25.0,1.0,1.0,1.0,1.0
50.25,26.709949813143577,115.6370447041811,0.23739354810316277,25.0,1.0,1.0,1.0,1.0
50.4,26.820888424871637,114.53794185185684,0.24060601898039782,25.0,1.0,1.0,1.0,1.0
50.55,26.931229881884015,113.41488291200606,0.2439257249057424,25.0,1.0,1.0,1.0,1.0
50.699999999999996,27.040952687001894,112.26775805523411,0.24735788244915596,25.0,1.0,1.0,1.0,1.0
50.85,27.15003326232099,111.0964500348454,0.25090842350042053,25.0,1.0,1.0,1.0,1.0
51.0,27.258447858322224,109.90083990586685,0.254583254366603,25.0,1.0,1.0,1.0,1.0
51.15,27.36617038628745,108.68080074126873,0.25838906687138014,25.0,1.0,1.0,1.0,1.0
51.3,27.473173745772673,107.43620148104533,0.26233286253819177,25.0,1.0,1.0,1.0,1.0
51.449999999999996,27.57942943443666,106.16690571936493,0.26642208598448136,25.0,1.0,1.0,1.0,1.0
51.6,27.684906259510747,104.87276778042312,0.27066506827844394,25.0,1.0,1.0,1.0,1.0
51.75,27.78957263789469,103.55363984531594,0.27507023976838135,25.0,1.0,1.0,1.0,1.0
51.9,27.89339314873986,102.20936214065067,0.2796474137123054,25.0,1.0,1.0,1.0,1.0
52.05,27.996331549154007,100.83977107889797,0.2844066124255265,25.0,1.0,1.0,1.0,1.0
52.199999999999996,28.098349038635885,99.4446956680976,0.2893588668012117,25.0,1.0,1.0,1.0,1.0
52.35,28.199402327153226,98.02395486021403,0.2945172583455911,25.0,1.0,1.0,1.0,1.0
52.5,28.29944728844208,96.57735737165316,0.2998941360110886,25.0,1.0,1.0,1.0,1.0
52.65,28.3984367443379,95.10470181410894,0.3055028248545369,25.0,1.0,1.0,1.0,1.0
52.8,28.496318423744892,93.60577792121695,0.3113594935031421,25.0,1.0,1.0,1.0,1.0
52.949999999999996,28.593036943787094,92.0803645310239,0.317481108369449,25.0,1.0,1.0,1.0,1.0
53.1,28.688532176512805,90.52822959904691,0.32388671590404183,25.0,1.0,1.0,1.0,1.0
53.25,28.782739227628966,88.94912769587636,0.33059692672898183,25.0,1.0,1.0,1.0,1.0
53.4,28.875588681402228,87.3428012852327,0.3376340678790325,25.0,1.0,1.0,1.0,1.0
53.55,28.9670055422291,85.70897668203001,0.345022219789624,25.0,1.0,1.0,1.0,1.0
53.699999999999996,29.056907403875996,84.04736663324688,0.35278907156590666,25.0,1.0,1.0,1.0,1.0
53.85,29.14520471398241,82.35766792485518,0.3609652190485734,25.0,1.0,1.0,1.0,1.0
54.0,29.23179944716849,80.63955973195563,0.36958472167944756,25.0,1.0,1.0,1.0,1.0
54.15,29.316584555204756,78.8927024521972,0.37868523657309994,25.0,1.0,1.0,1.0,1.0
54.3,29.399443074320356,77.1167371476342,0.3883085624131362,25.0,1.0,1.0,1.0,1.0
54.449999999999996,29.48024618179212,75.31128409537372,0.39850167633125705,25.0,1.0,1.0,1.0,1.0
54.6,29.558849634607128,73.47594320053568,0.4093192767061189,25.0,1.0,1.0,1.0,1.0
54.75,29.63509524971088,71.6102884607003,0.42082127205978265,25.0,1.0,1.0,1.0,1.0
54.9,29.708808135893563,69.71387000070848,0.43307525548232007,25.0,1.0,1.0,1.0,1.0
55.05,29.77979301294308,67.78621087829627,0.4461581670788118,25.0,1.0,1.0,1.0,1.0
55.199999999999996,29.84782729624097,65.826810981374,0.4601617411787608,25.0,1.0,1.0,1.0,1.0
55.35,29.912661856211127,63.83513828441879,0.4751891802715156,25.0,1.0,1.0,1.0,1.0
55.5,29.97402254798808,61.81062413345843,0.49135277197652993,25.0,1.0,1.0,1.0,1.0
55.65,30.031585455716975,59.752683473038985,0.5087955805467375,25.0,1.0,1.0,1.0,1.0
55.8,30.08498742050192,57.66069386818167,0.5276771655202894,25.0,1.0,1.0,1.0,1.0
55.949999999999996,30.13380953400645,55.53400525758124,0.5481863331240764,25.0,1.0,1.0,1.0,1.0
56.1,30.177566400182144,53.37194248032253,0.5705472938389975,25.0,1.0,1.0,1.0,1.0
56.25,30.215695151898466,51.173809345727875,0.5950262438284032,25.0,1.0,1.0,1.0,1.0
56.4,30.247537170445334,48.938897214814496,0.6219427867708125,25.0,1.0,1.0,1.0,1.0
56.55,30.27230961754951,46.666496171105244,0.651685831769776,25.0,1.0,1.0,1.0,1.0
56.699999999999996,30.289079733874352,44.35591152291895,0.6847289681285781,25.0,1.0,1.0,1.0,1.0
56.85,30.296725782857816,42.006494305276355,0.7216563251016094,25.0,1.0,1.0,1.0,1.0
57.0,30.29387511492518,39.61769469357139,0.7632050545381038,25.0,1.0,1.0,1.0,1.0
57.15,30.278860002376415,37.18909464619881,0.810283982738631,25.0,1.0,1.0,1.0,1.0
57.3,30.249578326922663,34.72055065980401,0.8640809966006033,25.0,1.0,1.0,1.0,1.0
57.449999999999996,30.20339946703997,32.2122892844695,0.926109679848953,25.0,1.0,1.0,1.0,1.0
57.599999999999994,30.13694028676258,29.66516400794231,0.9983747102500223,25.0,1.0,1.0,1.0,1.0
57.75,30.045793284088028,27.080983064670647,1.0835575419595094,25.0,1.0,1.0,1.0,1.0
57.9,29.924152262368814,24.462990058878663,1.1852699475552708,25.0,1.0,1.0,1.0,1.0
58.05,29.764159827133398,21.816727355410475,1.3085344609200713,25.0,1.0,1.0,1.0,1.0
58.199999999999996,29.555089111984586,19.151197849365005,1.4603504851218505,25.0,1.0,1.0,1.0,1.0
58.349999999999994,29.28197219720556,16.480853905989353,1.650698070457385,25.0,1.0,1.0,1.0,1.0
58.5,28.923668898252263,13.828553813129343,1.89392709269484,25.0,1.0,1.0,1.0,1.0
58.65,28.450226088741346,11.229883351177554,2.2106065318059853,25.0,1.0,1.0,1.0,1.0
58.8,27.819854184911712,8.738781040928473,2.62946642779246,25.0,1.0,1.0,1.0,1.0
58.949999999999996,26.97710370577311,6.433055794801922,3.1879165113712227,25.0,1.0,1.0,1.0,1.0
