Time,I,U,V,m,K,xi,gamma,compartment,Tumor_Growth,Conversion_Uninfected_to_Infected,Tumor_Cell_Death,Viral_Decay
584.0,1.9029520602378902,0.00013953248731211735,2.6762002707143773,0.1,100.0,0.06,0.1,1.0,0.00018812304747694626,0.00019621592662464067,0.1141771236142734,0.2676200270714377
585.0,1.7923180403853973,0.00013181307438468894,2.5269374159258198,0.1,100.0,0.06,0.1,1.0,0.00017846562212914366,0.0001858257785722524,0.10753908242312384,0.252693741592582
586.0,1.6881172115170364,0.00012478569384465695,2.3857504210363705,0.1,100.0,0.06,0.1,1.0,0.0001696347070257805,0.0001763417342543569,0.10128703269102218,0.23857504210363706
587.0,1.5899757655728075,0.0001183758538860512,2.252227129798092,0.1,100.0,0.06,0.1,1.0,0.00016154534943486464,0.00016766888367752067,0.09539854593436844,0.2252227129798092
588.0,1.497541577643418,0.00011251830784385912,2.1259738997399094,0.1,100.0,0.06,0.1,1.0,0.00015412268127828864,0.00015972378826701347,0.08985249465860508,0.21259738997399094
589.0,1.4104829526600926,0.0001071557796153741,2.006615041893595,0.1,100.0,0.06,0.1,1.0,0.00014730058964392326,0.00015243294130276063,0.08462897715960556,0.2006615041893595
590.0,1.3284874443776336,0.00010223787246401467,1.8937922440452384,0.1,100.0,0.06,0.1,1.0,0.00014102056783486284,0.00014573144177375158,0.07970924666265801,0.18937922440452384
591.0,1.2512607430300748,9.772014424085412e-05,1.787163983412853,0.1,100.0,0.06,0.1,1.0,0.0001352307351748684,0.0001395618660684565,0.07507564458180449,0.1787163983412853
592.0,1.1785256256254737,9.356332305562489e-05,1.6864049338514318,0.1,100.0,0.06,0.1,1.0,0.00012988500069793243,0.0001338733079420717,0.07071153753752842,0.1686404933851432
593.0,1.110020968856829,8.97326379058236e-05,1.5912053712310392,0.1,100.0,0.06,0.1,1.0,0.00012494234479583908,0.00012862055578621376,0.06660125813140974,0.15912053712310392
594.0,1.0455008200313758,8.619724390051682e-05,1.501270581080615,0.1,100.0,0.06,0.1,1.0,0.00012036619806666874,0.0001237633829609872,0.06273004920188255,0.1501270581080615
595.0,0.9847335166658309,8.29297220284458e-05,1.4163202708386453,0.1,100.0,0.06,0.1,1.0,0.00011612389585883152,0.00011926592696000076,0.05908401099994985,0.14163202708386455
596.0,0.9275008280754378,7.990560560000786e-05,1.336087986262124,0.1,100.0,0.06,0.1,1.0,0.000112186149709962,0.00011509609438899937,0.05565004968452626,0.13360879862621242
597.0,0.8735972081213728,7.710306684854651e-05,1.2603205410224296,0.1,100.0,0.06,0.1,1.0,0.0001085267123181579,0.00011122517588148905,0.05241583248728236,0.12603205410224297
598.0,0.8228290614801752,7.450260274796702e-05,1.1887774567445308,0.1,100.0,0.06,0.1,1.0,0.00010512203022554966,0.00010762745293767072,0.04936974368881051,0.11887774567445308
599.0,0.7750140475379479,7.20867513163457e-05,1.1212304158069744,0.1,100.0,0.06,0.1,1.0,0.00010195092613247354,0.00010427984010669429,0.046500842852276875,0.11212304158069744
600.0,0.7299804281107474,6.983985119175534e-05,1.0574627281572802,0.1,100.0,0.06,0.1,1.0,9.899432919858001e-05,0.0001011615813545354,0.04379882568664484,0.10574627281572802
601.0,0.6875664402494759,6.774781982455865e-05,0.9972688086803269,0.1,100.0,0.06,0.1,1.0,9.623502243155892e-05,9.825396808268933e-05,0.04125398641496855,0.09972688086803269
602.0,0.6476197248302719,6.579797487705291e-05,0.9404536778124766,0.1,100.0,0.06,0.1,1.0,9.36574406958281e-05,9.554011211758e-05,0.03885718348981631,0.09404536778124767
603.0,0.6099967787417356,6.397888059893048e-05,0.8868324707982305,0.1,100.0,0.06,0.1,1.0,9.124749655692498e-05,9.300475084086487e-05,0.036599806724504136,0.08868324707982306
604.0,0.5745624418151006,6.228021168494229e-05,0.8362299657547583,0.1,100.0,0.06,0.1,1.0,8.899242490137132e-05,9.063407348852404e-05,0.034473746508906035,0.08362299657547584
605.0,0.5411894154082426,6.069263355799422e-05,0.7884801297751266,0.1,100.0,0.06,0.1,1.0,8.688064560000578e-05,8.841556772586484e-05,0.03247136492449455,0.07884801297751266
606.0,0.509757796572091,5.9207691314121024e-05,0.7434256742186688,0.1,100.0,0.06,0.1,1.0,8.49016344540807e-05,8.633787705399761e-05,0.030585467794325458,0.07434256742186689
607.0,0.48015465977276633,5.7817719070365445e-05,0.7009176400128235,0.1,100.0,0.06,0.1,1.0,8.304581852488806e-05,8.439068350200015e-05,0.02880927958636598,0.07009176400128235
