Time,FITC_Dextran_single_compartment_model,Pyranine_single_compartment_model,Total_FITC_Dextran,Total_Pyranine,FITC_Dextran_three_compartment_model_compartment_1,FITC_Dextran_three_compartment_model_compartment_2,FITC_Dextran_three_compartment_model_compartment_3,Pyranine_three_compartment_model_compartment_1,Pyranine_three_compartment_model_compartment_2,Pyranine_three_compartment_model_compartment_3,FITC_Dextran_max_uptake_rate,lambda_single_compartment_model_FITC_Dextran,Pyranine_max_uptake_rate,lambda_single_compartment_model_Pyranine,Pyranine_addition_trigger,FITC_Dextran_influx_rate,lambda_compartment_1,lambda_compartment_2,lambda_compartment_3,Pyranine_influx_rate,Dictyostelium_discoideum_AX2,FITC_Dextran_influx_rate_0,FITC_Dextran_transfer_between_endo_lysosomal_compartments_1_and_2,FITC_Dextran_transfer_between_endo_lysosomal_compartments_2_and_3,FITC_Dextran_efflux_rate,Pyranine_influx_rate_0,Pyranine_transfer_between_endo_lysosomal_compartments_1_and_2,Pyranine_transfer_between_endo_lysosomal_compartments_2_and_3,Pyranine_efflux_rate
195.0,559.1680564744797,375.7359810137523,547.0156741668452,380.178605689433,180.94789447394822,179.98699640824327,186.0807832846537,140.29981605521326,128.8651717536453,111.0136178805745,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.695072095536084,6.6595188671050005,6.512827414962881,5.3,5.191093194042891,4.768011354884877,3.885476625820108
196.0,559.5780786464102,377.7485416292268,547.2003016246746,381.57777722444814,180.95273223079502,180.02198871087313,186.22558068300646,140.40673059668592,129.28249109823136,111.88855552953092,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.695251092539415,6.660813582302305,6.517895323905226,5.3,5.195049032077379,4.78345217063456,3.9160994435335827
197.0,559.9815926676355,379.74107693198755,547.3799267426992,382.94658932848114,180.95739430637713,180.0558825300004,186.36664990632173,140.50976257802722,129.68846234640094,112.74836440405299,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.695423589335953,6.662067653610014,6.522832746721261,5.3,5.198861215387007,4.798473106816835,3.946192754141855
198.0,560.3787018399486,381.7137861772252,547.5546782348531,384.2855736144811,180.96188698782638,180.08871131045248,186.50407993657421,140.60905094500023,130.08336195850168,113.59316071097916,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.695589818549576,6.663282318486742,6.527642797780098,5.3,5.202534884965009,4.813084392464562,3.975760624884271
199.0,560.7695078254665,383.6668666375081,547.7246820892017,385.59525086868166,180.96621648536114,180.12050782218947,186.63795778165107,140.70473294357876,130.46745714036987,114.42306078473305,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.6957500099583624,6.66445878942101,6.532328522357788,5.3,5.206075118912414,4.827295914193685,4.004807127465657
200.0,561.1541106726557,385.60051362251005,547.8900611824365,386.87613959608433,180.97038873960767,180.15130377674672,186.76836866608207,140.79693986174362,130.84101154596297,115.23818818837772,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.695904383365484,6.665598239739628,6.536892903312873,5.3,5.209486774884514,4.84111742720063,4.0333365865932205
201.0,561.5326088419458,387.51492049854073,548.050935453065,388.12875366365245,180.97440948006349,180.1811299561991,186.89539601680235,140.88579832152766,131.20428382513614,116.03867151698861,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.696053150762348,6.666701808379367,6.541338860588083,5.3,5.212774537896523,4.854558501530037,4.061353503094602
202.0,561.905099230935,389.4102787078832,548.2074216258,389.35360729451867,180.978284125452,180.210015983686,187.0191215166619,140.9714280768469,131.55752988516804,116.82464933250371,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.696196512641724,6.667770591396382,6.545669253083167,5.3,5.215942838843335,4.867628605751217,4.08886272663763
203.0,562.2716771991974,391.2867777879378,548.3596340211279,390.55120347442676,180.98201802957254,180.23799091569296,187.1396250758625,141.05394744679327,131.90099788804974,117.59625813958372,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.696334667094184,6.668805663880639,6.549886877655188,5.3,5.218996055531351,4.8803369218578405,4.1158690348854305
204.0,562.6324365926946,393.14460539017637,548.5076840744287,391.722042083638,180.9856163163017,180.2650828571351,187.25698490099185,141.13346966916143,132.23493188609513,118.35364052838138,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.696467803703163,6.669808065713998,6.553994471534716,5.3,5.221938377758972,4.892692479785519,4.142377418493348
205.0,562.9874697678019,394.98394729890725,548.6516805418529,392.86661753120984,180.98908393324288,180.2913190964923,187.37127751211776,141.21010408610525,132.55957086035235,119.09694258475223,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.696596105529986,6.6707788065702145,6.557994712924122,5.3,5.224773851185894,4.904704121833037,4.168392990466328
